iter	Passed	Remaining
0	202	101166
1	250	62265
2	333	55243
3	373	46258
4	440	43629
5	489	40326
6	565	39851
7	644	39641
8	695	37944
9	747	36613
10	774	34435
11	826	33614
12	869	32575
13	896	31120
14	933	30198
15	998	30200
16	1081	30724
17	1135	30395
18	1219	30873
19	1358	32607
20	1438	32811
21	1466	31854
22	1519	31503
23	1584	31430
24	1626	30901
25	1653	30138
26	1704	29867
27	1784	30075
28	1811	29415
29	1879	29439
30	1917	29003
31	1954	28583
32	1980	28021
33	2018	27670
34	2045	27170
35	2107	27169
36	2182	27307
37	2207	26837
38	2269	26829
39	2312	26595
40	2367	26508
41	2445	26662
42	2493	26504
43	2542	26354
44	2606	26356
45	2657	26229
46	2685	25880
47	2726	25673
48	2768	25482
49	2797	25173
50	2855	25138
51	2903	25017
52	2946	24850
53	3002	24796
54	3057	24738
55	3099	24570
56	3128	24312
57	3181	24249
58	3211	24006
59	3250	23835
60	3289	23671
61	3314	23418
62	3378	23437
63	3420	23299
64	3449	23084
65	3525	23180
66	3551	22954
67	3578	22736
68	3647	22780
69	3675	22579
70	3727	22519
71	3766	22390
72	3831	22413
73	3858	22209
74	3938	22316
75	3977	22191
76	4019	22082
77	4058	21957
78	4109	21899
79	4147	21774
80	4211	21787
81	4277	21802
82	4306	21638
83	4335	21469
84	4362	21297
85	4416	21260
86	4483	21282
87	4510	21116
88	4548	21007
89	4579	20861
90	4622	20775
91	4662	20675
92	4701	20575
93	4728	20422
94	4754	20270
95	4781	20122
96	4809	19980
97	4848	19886
98	4887	19796
99	4952	19810
100	5004	19768
101	5037	19655
102	5063	19518
103	5090	19382
104	5116	19247
105	5142	19113
106	5168	18983
107	5208	18905
108	5262	18876
109	5313	18839
110	5365	18802
111	5415	18761
112	5442	18637
113	5506	18644
114	5568	18642
115	5609	18568
116	5694	18640
117	5724	18533
118	5779	18505
119	5859	18555
120	5886	18438
121	5925	18360
122	5977	18320
123	6044	18329
124	6070	18212
125	6097	18098
126	6123	17985
127	6175	17947
128	6251	17978
129	6336	18034
130	6377	17964
131	6430	17927
132	6493	17917
133	6544	17874
134	6583	17799
135	6612	17697
136	6652	17626
137	6704	17586
138	6742	17510
139	6795	17472
140	6873	17499
141	6936	17488
142	6987	17444
143	7039	17402
144	7119	17431
145	7151	17339
146	7198	17285
147	7241	17222
148	7296	17188
149	7362	17179
150	7391	17083
151	7452	17063
152	7492	16993
153	7566	17000
154	7633	16990
155	7713	17010
156	7791	17022
157	7868	17032
158	7984	17124
159	8039	17084
160	8080	17014
161	8165	17036
162	8221	16998
163	8287	16980
164	8331	16915
165	8426	16954
166	8472	16893
167	8519	16835
168	8580	16805
169	8652	16796
170	8692	16723
171	8765	16716
172	8830	16691
173	8869	16616
174	8941	16605
175	8988	16547
176	9065	16542
